INI301  ,INGENIERÍA ECONÓMICA ,4 ,CBM206 ,0
INI322  ,HERRAMIENTAS DE CALIDAD ,2 ,CBM206 ,0
"","",18,"",""
"",OCTAVO TRIMESTRE,"","",""
INC306  ,RESISTENCIA DE MATERIALES II ,4 ,ING206 ,0
INC309  ,TEORÍA ESTRUCTURAL I ,4 ,CBM208 ING206 ,0
INC312  ,TOPOGRAFÍA II ,4 ,INC360 ,0
ING208  ,MECÁNICA DE FLUIDOS I ,5 ,ING207 ,0
"","",17,"",""
"",NOVENO TRIMESTRE,"","",""
CBM303  ,ANÁLISIS NUMÉRICO ,4 ,CBM208 ,0
INC307  ,HIDROLOGÍA ,3 ,ING208 ,0
INC310  ,TEORÍA ESTRUCTURAL II ,4 ,INC309 ,0
INC313  ,MATERIALES DE CONSTRUCCIÓN ,4 ,INC306 ,0
INC375  ,GEOLOGÍA,4 ,"",130
"","",19,"",""
"",DÉCIMO TRIMESTRE,"","",""
CHH301  ,ÉTICA PROFESIONAL ,2 ,"",80
INC314  ,HIDRÁULICA I ,4 ,INC307 ,0
INC316  ,DISEÑO ESTRUCTURAL I ,5 ,INC310 ,0
INC369  ,GESTIÓN EMPRESARIAL EN INGENIERÍA CIVIL ,2 ,INI301 INI322 ,0
INC376  ,MECÁNICA DE SUELOS  ,4 ,INC313 INC375 ,0
"","",17,"",""
"",DÉCIMO PRIMER TRIMESTRE,"","",""
INC318  ,DISEÑO ESTRUCTURAL II ,5 ,INC316 ,0
INC319  ,HIDRÁULICA II ,4 ,INC314 ,0
INC359  ,INGENIERÍA DE TRÁNSITO ,4 ,CBM303 INI301 ,0
INC370  ,MÉTODOS Y COSTOS DE CONSTRUCCIÓN ,4 ,INC313 INC316 ,0
"","",17,"",""
"",DÉCIMO SEGUNDO TRIMESTRE,"","",""
INC323  ,FUNDACIONES ,4 ,INC318 INC376 ,0
INC364  ,INGENIERÍA SANITARIA I ,5 ,INC319 ,0
INC367  ,DIBUJO CIVIL ,4 ,INC318 ,0
INC391  ,ADMINISTRACIÓN DE LA CONSTRUCCIÓN ,4 ,INC370 ,0
"","",17,"",""
"",DÉCIMO TERCER TRIMESTRE,"","",""
INC317  ,ESTRUCTURAS METÁLICAS ,4 ,INC318 ,0
INC321  ,INGENIERÍA VIAL I ,4 ,INC359 INC376 ,0
INC365  ,INGENIERÍA SANITARIA II ,5 ,INC364 ,0
INC373  ,SEMINARIO DE INVESTIGACIÓN EN INGENIERÍA CIVIL ,2 ,"",200
"",ELECTIVA (S) PROFESIONAL (ES) (4) ,* ,"",180
"","",15,"",""
"",DÉCIMO CUARTO TRIMESTRE,"","",""
INC322  ,INGENIERÍA VIAL II ,4 ,INC321 ,0
INC349  ,INGENIERÍA AMBIENTAL ,4 ,INC365 ,0
INC354  ,ASPECTOS LEGALES DE INGENIERÍA ,2 ,INC369 ,180
INC374  ,PROYECTO DE INVESTIGACIÓN EN INGENIERÍA CIVIL ,4 ,INC373 ,0
INE339  ,CIRCUITOS E INSTALACIONES ELÉCTRICAS ,4 ,CBF203 INC370 ,0
"","",18,"",""
